BEM,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,sigM,Round,Mag,Type,N*
3.67,-114.8,36.0,0.0,1949,5,24,10,45,49.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1949,5,24,10,46,12.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1949,7,22,9,34,30.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1949,8,17,21,41,44.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1949,8,22,5,44,59.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1949,10,8,5,34,31.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.0,40.7,0.0,1949,11,18,19,11,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.0,41.1,0.0,1949,11,19,18,45,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,2,6,18,33,43.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.7,40.0,0.0,1950,2,20,14,58,23.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,3,22,6,44,40.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.221,38.239000000000004,0.0,1950,5,5,7,35,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,5,7,8,36,26.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,6,5,19,2,50.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,7,13,11,42,8.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,7,13,11,42,39.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,7,14,14,39,59.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,7,15,3,53,45.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.831,41.738,0.0,1950,7,21,19,23,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,7,25,3,14,50.0,0.5,0.01,Mpred|Io,0.482,
3.67,-108.7,42.8,0.0,1950,8,17,20,45,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,8,23,16,48,16.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1950,8,23,16,48,17.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.83200000000001,39.705999999999996,0.0,1951,1,23,13,33,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,2,10,16,6,12.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.54,37.0,0.0,1951,3,5,23,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,6,14,22,32,59.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,6,15,15,43,28.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,8,13,23,9,23.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,8,29,4,39,35.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1951,10,24,17,27,19.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,1,14,0,7,30.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,3,2,25,16.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,9,19,50,16.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,13,14,46,22.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,14,7,23,11.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,14,7,52,9.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,14,8,14,30.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,15,19,4,9.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,20,14,36,41.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,21,11,46,34.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,2,21,14,20,10.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,3,12,14,14,59.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,3,26,15,31,34.0,0.5,0.01,Mpred|Io,0.482,
3.67,-113.28200000000001,37.241,0.0,1952,5,2,10,15,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,5,27,9,1,2.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,6,1,3,18,55.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,6,13,1,48,5.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,6,15,15,23,31.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.781,39.973,0.0,1952,7,21,1,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.84899999999999,40.749,0.0,1952,7,23,19,28,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,8,14,19,41,14.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,8,24,3,2,5.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,9,13,17,45,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,3,4,12,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,3,8,8,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,16,21,19,3.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,0,44,54.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,6,45,43.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,17,29,36.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,19,55,10.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,20,40,53.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,20,42,44.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,20,56,51.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,18,20,58,45.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,19,1,52,28.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,19,11,29,36.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,19,11,30,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,20,7,33,58.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,20,8,53,6.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,26,0,52,34.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,27,9,35,5.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,10,31,11,14,33.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,11,1,23,35,48.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,11,2,12,18,2.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,11,5,6,18,38.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,11,6,20,5,10.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,11,29,1,34,15.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,12,7,2,49,38.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1952,12,7,8,20,13.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,3,2,20,46,40.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,3,10,3,5,20.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,3,11,5,24,14.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.12299999999999,38.637,0.0,1953,4,18,5,15,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,5,20,5,35,29.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,7,12,17,19,35.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.95,40.78,0.0,1953,8,16,16,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,10,9,22,21,13.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1953,10,11,9,48,48.0,0.5,0.01,Mpred|Io,0.482,
3.67,-108.75,40.0,0.0,1954,2,21,20,20,51.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1954,3,18,13,20,42.0,0.5,0.01,Mpred|Io,0.482,
3.67,-110.164,38.998000000000005,0.0,1954,3,31,14,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.3,42.4,0.0,1954,10,31,2,50,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.831,41.738,0.0,1954,11,1,7,45,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.25,38.283,0.0,1955,3,27,12,13,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.675,41.042,0.0,1955,6,25,5,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1955,11,20,10,55,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1955,11,20,12,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-108.7,42.8,0.0,1955,12,13,15,17,17.0,0.5,0.01,Mpred|Io,0.482,
3.67,-109.529,40.457,0.0,1956,2,12,3,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1956,5,27,15,45,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1956,5,29,16,2,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-110.1,41.5,0.0,1956,10,3,20,21,40.0,0.5,0.01,Mpred|Io,0.482,
3.67,-110.5,40.0,0.0,1957,7,18,15,24,20.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.0,42.5,0.0,1957,11,3,17,38,22.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1958,8,16,5,44,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1958,8,16,8,30,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1958,8,17,5,15,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1958,8,22,12,8,23.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1958,8,25,18,33,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.8,39.7,0.0,1958,12,1,22,30,8.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1959,6,9,10,53,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-113.175,37.539,0.0,1959,7,27,11,15,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-108.8,42.5,0.0,1959,8,22,13,10,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.23,38.449,0.0,1959,9,17,6,20,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.4,36.8,0.0,1959,11,10,6,58,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.4,42.5,0.0,1960,7,24,8,5,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.4,42.5,0.0,1960,7,24,8,25,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.4,42.5,49.0,1960,8,7,19,20,15.1,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1961,4,23,10,35,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-112.4,36.8,0.0,1962,1,17,16,9,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.7,42.0,0.0,1962,8,31,1,0,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.97,42.13,20.0,1962,8,31,10,33,32.2,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1962,10,17,17,20,45.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,36.0,0.0,1963,4,23,9,13,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,43.3,0.0,1963,5,25,4,18,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.8,43.3,0.0,1963,6,6,2,54,0.0,0.5,0.01,Mpred|Io,0.482,
3.67,-114.5,43.4,33.0,1963,8,2,9,45,42.0,0.5,0.01,Mpred|Io,0.482,
3.67,-111.38,41.745,4.0,2002,7,28,19,38,40.06,0.05,0.01,Mobs,0.993,
3.67,-112.054,37.91,5.6,2011,9,28,6,31,20.97,0.05,0.01,Mobs,0.993,
3.67,-111.525,40.018,9.0,2012,2,4,11,27,3.69,0.05,0.01,Mobs,0.993,
3.67,-112.405,37.856,10.0,2012,2,12,4,18,59.69,0.05,0.01,Mobs,0.993,
3.67,-112.21799999999999,41.809,6.0,2008,2,1,21,36,54.2,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.67,-112.425,38.067,1.0,1995,4,27,19,55,57.8,0.162,0.01,Mpred|Xvar,0.927,
3.67,-111.104,42.794,4.0,1994,3,3,0,33,29.2,0.105,0.01,Mpred|Xvar,0.968,
3.67,-113.53,37.156,0.0,1998,7,16,13,11,34.8,0.105,0.01,Mpred|Xvar,0.968,
3.66,-109.427,40.126999999999995,1.0,1991,3,2,8,41,36.6,0.225,0.01,Mpred|Xi,0.862,
3.66,-111.146,42.726000000000006,0.0,1994,2,4,21,35,26.0,0.105,0.01,Mpred|Xvar,0.968,
3.66,-108.94,38.260999999999996,1.0,1999,6,3,15,35,34.2,0.105,0.01,Mpred|Xvar,0.968,
3.66,-109.194,40.246,1.0,2000,11,11,21,17,52.7,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.66,-108.859,40.044000000000004,7.0,1979,3,19,14,59,30.2,0.163,0.01,Mpred|Xvar,0.925,
3.66,-112.6,42.001000000000005,6.0,2000,8,30,8,21,57.87,0.05,0.01,Mobs,0.993,
3.66,-111.01799999999999,43.173,8.0,2004,8,14,20,14,43.2,0.05,0.01,Mobs,0.993,
3.66,-113.22200000000001,37.638000000000005,8.0,2010,8,18,12,52,31.97,0.05,0.01,Mobs,0.993,
3.66,-110.70100000000001,43.13399999999999,10.0,2010,12,22,0,53,57.5,0.05,0.01,Mobs,0.993,
3.65,-109.27,42.549,5.0,1996,10,21,13,51,39.51,0.105,0.01,Mpred|Xvar,0.968,
3.65,-112.509,37.985,0.0,1998,2,2,0,49,5.8,0.105,0.01,Mpred|Xvar,0.968,
3.65,-114.921,41.123999999999995,9.0,2008,2,21,19,57,19.94,0.105,0.01,Mpred|Xvar,0.968,
3.65,-111.823,39.931999999999995,9.0,2011,7,22,7,5,35.17,0.05,0.01,Mobs,0.993,
3.65,-110.35600000000001,36.965,0.0,1993,6,3,16,17,28.4,0.225,0.01,Mpred|Xi,0.862,
3.65,-111.152,42.757,4.0,1994,2,10,14,49,25.0,0.105,0.01,Mpred|Xvar,0.968,
3.64,-111.111,42.78,2.0,1994,2,4,15,3,33.1,0.105,0.01,Mpred|Xvar,0.968,
3.64,-114.88799999999999,41.122,5.0,2008,2,22,19,22,30.34,0.105,0.01,Mpred|Xvar,0.968,
3.64,-110.71799999999999,43.159,5.0,2002,3,31,18,35,1.74,0.105,0.01,Mpred|Xvar,0.968,
3.64,-111.38,42.352,2.0,2000,10,27,13,17,56.1,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.64,-111.09899999999999,42.678000000000004,0.0,1994,2,5,22,28,57.2,0.105,0.01,Mpred|Xvar,0.968,
3.64,-114.898,41.108999999999995,9.0,2008,2,21,16,25,49.83,0.105,0.01,Mpred|Xvar,0.968,
3.63,-108.695,41.8,4.0,1985,8,13,20,57,1.5,0.161,0.01,Mpred|Xvar,0.927,
3.63,-111.184,42.76,1.0,1994,2,3,9,23,22.0,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.63,-112.546,36.911,22.0,2005,3,15,0,21,7.3,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.63,-111.09200000000001,42.57899999999999,0.0,1994,2,4,19,33,55.0,0.105,0.01,Mpred|Xvar,0.968,
3.63,-111.18700000000001,42.739,1.0,1994,2,3,9,55,29.0,0.105,0.01,Mpred|Xvar,0.968,
3.63,-111.14200000000001,42.753,6.0,1994,2,3,9,16,45.9,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.63,-114.807,36.42,17.0,2012,9,25,16,3,33.5,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.63,-111.117,42.786,4.0,1994,3,3,10,7,48.5,0.105,0.01,Mpred|Xvar,0.968,
3.63,-112.4,36.754,2.0,1989,9,21,15,38,48.1,0.225,0.01,Mpred|Xi,0.862,
3.63,-114.993,40.842,7.0,2012,2,1,14,40,32.6,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.63,-111.93700000000001,39.391,5.0,1984,8,16,14,19,21.7,0.153,0.01,Mpred|Xvar,0.934,
3.63,-111.11200000000001,42.657,1.0,1994,2,3,13,13,38.3,0.105,0.01,Mpred|Xvar,0.968,
3.62,-112.507,37.986,1.0,1998,2,1,21,29,4.7,0.10300000000000001,0.01,Mpred|Xvar,0.970,
3.62,-111.105,42.653999999999996,0.0,1994,6,19,17,17,7.9,0.105,0.01,Mpred|Xvar,0.968,
3.62,-113.374,41.521,0.0,1992,11,4,18,25,3.2,0.153,0.01,Mpred|Xvar,0.934,
3.62,-111.499,42.424,7.0,2011,1,26,5,10,11.08,0.05,0.01,Mobs,0.993,
3.62,-111.51700000000001,39.463,7.0,1994,9,10,6,33,42.4,0.162,0.01,Mpred|Xvar,0.927,
3.62,-111.54799999999999,39.105,7.0,1966,4,23,20,20,53.3,0.256,0.01,Mpred|Xi,0.826,
3.62,-112.25399999999999,36.505,7.0,1966,9,3,7,53,18.6,0.256,0.01,Mpred|Xi,0.826,
3.62,-113.339,37.583,7.0,1967,11,13,16,48,53.8,0.256,0.01,Mpred|Xi,0.826,
3.62,-112.06200000000001,39.3,4.0,1968,1,16,8,58,41.5,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-113.06200000000001,37.806,7.0,1971,11,10,19,41,33.9,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-111.16,42.733000000000004,0.0,1973,10,27,0,44,6.9,0.256,0.01,Mpred|Xi,0.826,
3.62,-112.581,42.025,5.0,1975,3,30,7,32,13.2,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-112.49799999999999,42.077,6.0,1975,3,31,10,30,56.4,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-112.84299999999999,38.333,1.0,1978,2,24,19,49,48.8,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-111.00399999999999,37.883,7.0,1979,4,11,19,53,58.0,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-110.973,37.885999999999996,7.0,1979,4,11,20,8,18.5,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-111.97399999999999,39.948,4.0,1980,4,6,10,45,4.0,0.22899999999999998,0.01,Mpred|Xi,0.858,
3.62,-111.251,42.68899999999999,0.0,1982,5,30,11,6,42.8,0.225,0.01,Mpred|Xi,0.862,
3.62,-114.84899999999999,41.20399999999999,5.0,2008,3,3,22,45,2.9,0.105,0.01,Mpred|Xvar,0.968,
3.62,-113.55,36.486,5.0,2002,7,7,5,37,38.98,0.105,0.01,Mpred|Xvar,0.968,
3.61,-111.11399999999999,42.696000000000005,0.0,1994,2,6,16,46,51.5,0.105,0.01,Mpred|Xvar,0.968,
3.61,-114.889,37.223,5.0,1972,10,28,19,1,24.9,0.23,0.01,Mpred|Xi,0.857,
3.61,-108.355,38.908,10.0,1990,10,21,4,31,19.9,0.23,0.01,Mpred|Xi,0.857,
3.61,-114.70700000000001,41.001999999999995,5.0,1991,1,22,12,39,3.78,0.23,0.01,Mpred|Xi,0.857,
3.61,-111.171,42.568999999999996,5.0,1994,2,3,18,33,52.04,0.23,0.01,Mpred|Xi,0.857,
3.61,-111.111,42.711000000000006,5.0,1994,2,6,15,3,42.7,0.23,0.01,Mpred|Xi,0.857,
3.61,-114.869,37.713,5.0,1994,5,11,21,46,41.13,0.23,0.01,Mpred|Xi,0.857,
3.61,-114.869,41.153999999999996,12.0,2007,2,28,11,47,41.4,0.05,0.01,Mobs,0.993,
3.61,-111.08200000000001,42.631,3.0,1994,4,17,20,20,37.9,0.105,0.01,Mpred|Xvar,0.968,
3.61,-111.09,42.784,5.0,2010,6,18,9,25,57.27,0.105,0.01,Mpred|Xvar,0.968,
3.61,-111.485,43.016000000000005,5.0,1992,11,11,17,36,55.6,0.127,0.01,Mpred|Xvar,0.954,
3.61,-114.915,41.133,12.0,2008,2,21,19,53,49.36,0.105,0.01,Mpred|Xvar,0.968,
3.6,-112.32,41.82,2.0,1986,10,29,22,13,14.6,0.153,0.01,Mpred|Xvar,0.934,
3.6,-114.7,36.0,16.0,1952,2,20,13,41,11.0,0.2,0.10,M~|MLPAS,0.890,
3.6,-114.1,37.4,33.0,1966,8,17,21,42,50.9,0.2,0.10,M~|MLBRK,0.890,
3.6,-114.2,37.3,33.0,1966,8,19,2,8,5.1,0.2,0.10,M~|MLBRK,0.890,
3.6,-114.2,37.3,33.0,1966,8,19,11,17,47.7,0.2,0.10,M~|MLBRK,0.890,
3.6,-114.3,37.3,33.0,1966,8,27,15,31,49.5,0.2,0.10,M~|MLBRK,0.890,
3.6,-114.87200000000001,41.026,0.0,1975,5,12,9,41,30.5,0.15,0.10,M~|MLREN,0.936,
3.6,-114.98,38.116,0.0,1976,2,20,17,13,50.2,0.15,0.10,M~|MLREN,0.936,
3.6,-114.63799999999999,36.01,6.0,1985,7,23,20,16,44.9,0.1,0.10,M~|MLPAS,0.971,
3.6,-110.31700000000001,43.473,5.0,1988,12,4,6,2,21.95,0.15,0.10,M~|MLBUT,0.936,
3.6,-114.44,37.21,2.0,2001,12,24,23,8,33.0,0.15,0.10,M~|MLREN,0.936,
3.6,-111.507,42.413000000000004,9.0,2006,9,2,19,54,59.98,0.05,0.01,Mobs,0.993,
3.6,-114.902,41.13399999999999,10.0,2008,3,15,16,22,33.5,0.05,0.01,Mobs,0.993,
3.6,-114.693,37.5,2.0,2009,7,20,5,31,50.13,0.15,0.10,M~|MLREN,0.936,
3.6,-111.559,42.052,7.0,2011,7,26,3,38,26.94,0.05,0.01,Mobs,0.993,
3.6,-111.396,42.59,1.0,1982,10,14,6,28,45.7,0.225,0.01,Mpred|Xi,0.862,
3.6,-113.163,37.477,0.0,1995,6,8,8,29,16.3,0.225,0.01,Mpred|Xi,0.862,
3.6,-110.75200000000001,43.143,5.0,1999,1,30,20,29,15.99,0.105,0.01,Mpred|Xvar,0.968,
3.6,-112.60700000000001,37.365,0.0,1982,3,5,5,50,22.8,0.162,0.01,Mpred|Xvar,0.927,
3.59,-110.88,39.17,14.0,2006,1,27,6,47,12.29,0.05,0.01,Mobs,0.993,
3.59,-110.45700000000001,43.111999999999995,9.0,2012,5,10,1,18,30.6,0.05,0.01,Mobs,0.993,
3.59,-108.65700000000001,41.728,7.0,1998,6,30,18,23,15.6,0.225,0.01,Mpred|Xi,0.862,
3.59,-110.852,43.019,6.0,1985,3,11,6,42,31.9,0.161,0.01,Mpred|Xvar,0.927,
3.59,-111.43,39.666,0.0,1987,10,19,7,17,9.8,0.128,0.01,Mpred|Xvar,0.953,
3.59,-111.1,42.74,3.0,1994,7,17,8,56,45.0,0.105,0.01,Mpred|Xvar,0.968,
3.58,-110.65299999999999,43.411,3.0,1981,5,6,19,26,2.7,0.161,0.01,Mpred|Xvar,0.927,
3.58,-110.802,43.224,5.0,1983,12,22,18,56,3.9,0.161,0.01,Mpred|Xvar,0.927,
3.58,-111.514,43.015,5.0,1992,11,12,6,32,57.65,0.161,0.01,Mpred|Xvar,0.927,
3.58,-112.119,37.053000000000004,0.0,1993,5,27,6,21,54.2,0.162,0.01,Mpred|Xvar,0.927,
3.58,-112.95200000000001,36.896,1.0,1988,12,29,18,18,57.4,0.225,0.01,Mpred|Xi,0.862,
3.58,-111.914,38.966,1.0,1991,2,21,11,23,45.9,0.225,0.01,Mpred|Xi,0.862,
3.58,-112.32799999999999,41.821999999999996,3.0,1987,4,1,16,40,41.2,0.128,0.01,Mpred|Xvar,0.953,
3.58,-112.285,42.13399999999999,7.0,1993,7,3,0,16,33.5,0.128,0.01,Mpred|Xvar,0.953,
3.58,-111.141,42.59,3.0,1994,2,3,22,57,39.8,0.105,0.01,Mpred|Xvar,0.968,
3.58,-112.545,38.723,0.0,2001,2,28,4,9,46.0,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.58,-110.49,40.54,5.0,1977,10,11,8,37,53.4,0.163,0.01,Mpred|Xvar,0.925,
3.58,-111.1,42.663000000000004,3.0,1994,10,17,1,46,12.5,0.161,0.01,Mpred|Xvar,0.927,
3.58,-111.53299999999999,43.016999999999996,5.0,1992,11,16,2,32,14.38,0.161,0.01,Mpred|Xvar,0.927,
3.58,-110.479,43.13399999999999,5.0,2010,9,12,20,20,3.27,0.105,0.01,Mpred|Xvar,0.968,
3.58,-111.057,42.547,0.0,1994,2,3,9,19,11.1,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.58,-112.691,38.601,1.0,2005,7,20,7,6,15.4,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.58,-111.113,42.71,1.0,1994,2,3,17,19,53.0,0.105,0.01,Mpred|Xvar,0.968,
3.57,-111.102,42.773999999999994,1.0,1994,2,11,2,20,5.6,0.105,0.01,Mpred|Xvar,0.968,
3.57,-114.21600000000001,37.458,0.0,1991,2,25,9,48,42.7,0.162,0.01,Mpred|Xvar,0.927,
3.57,-110.87899999999999,39.107,1.0,1988,8,15,14,50,23.5,0.225,0.01,Mpred|Xi,0.862,
3.57,-111.23299999999999,42.531000000000006,0.0,2012,1,5,7,20,8.9,0.105,0.01,Mpred|Xvar,0.968,
3.57,-112.318,41.474,7.0,1997,10,3,14,52,18.8,0.105,0.01,Mpred|Xvar,0.968,
3.57,-111.10799999999999,42.758,3.0,1994,3,19,16,7,44.3,0.105,0.01,Mpred|Xvar,0.968,
3.56,-113.794,36.666,0.0,2011,12,14,18,34,47.0,0.11800000000000001,0.01,Mpred|Xvar,0.960,
3.56,-110.62799999999999,43.145,5.0,1990,4,9,16,56,53.33,0.161,0.01,Mpred|Xvar,0.927,
3.56,-109.78399999999999,38.312,1.0,1993,10,14,18,39,40.5,0.225,0.01,Mpred|Xi,0.862,
